id,x,y,right,bottom
18851,359187.2612,335528.9782,359190.2612,335531.9782
18852,359187.2612,335525.9782,359190.2612,335528.9782
18853,359187.2612,335522.9782,359190.2612,335525.9782
18854,359187.2612,335519.9782,359190.2612,335522.9782
18855,359187.2612,335516.9782,359190.2612,335519.9782
18870,359187.2612,335471.9782,359190.2612,335474.9782
18871,359187.2612,335468.9782,359190.2612,335471.9782
18872,359187.2612,335465.9782,359190.2612,335468.9782
18873,359187.2612,335462.9782,359190.2612,335465.9782
18874,359187.2612,335459.9782,359190.2612,335462.9782
18875,359187.2612,335456.9782,359190.2612,335459.9782
18876,359187.2612,335453.9782,359190.2612,335456.9782
18877,359187.2612,335450.9782,359190.2612,335453.9782
18878,359187.2612,335447.9782,359190.2612,335450.9782
18879,359187.2612,335444.9782,359190.2612,335447.9782
18880,359187.2612,335441.9782,359190.2612,335444.9782
18881,359187.2612,335438.9782,359190.2612,335441.9782
18882,359187.2612,335435.9782,359190.2612,335438.9782
18883,359187.2612,335432.9782,359190.2612,335435.9782
18884,359187.2612,335429.9782,359190.2612,335432.9782
18885,359187.2612,335426.9782,359190.2612,335429.9782
18886,359187.2612,335423.9782,359190.2612,335426.9782
18887,359187.2612,335420.9782,359190.2612,335423.9782
18888,359187.2612,335417.9782,359190.2612,335420.9782
18889,359187.2612,335414.9782,359190.2612,335417.9782
18890,359187.2612,335411.9782,359190.2612,335414.9782
18891,359187.2612,335408.9782,359190.2612,335411.9782
19014,359190.2612,335534.9782,359193.2612,335537.9782
19015,359190.2612,335531.9782,359193.2612,335534.9782
19016,359190.2612,335528.9782,359193.2612,335531.9782
19017,359190.2612,335525.9782,359193.2612,335528.9782
19018,359190.2612,335522.9782,359193.2612,335525.9782
19019,359190.2612,335519.9782,359193.2612,335522.9782
19020,359190.2612,335516.9782,359193.2612,335519.9782
19021,359190.2612,335513.9782,359193.2612,335516.9782
19036,359190.2612,335468.9782,359193.2612,335471.9782
19037,359190.2612,335465.9782,359193.2612,335468.9782
19038,359190.2612,335462.9782,359193.2612,335465.9782
19039,359190.2612,335459.9782,359193.2612,335462.9782
19040,359190.2612,335456.9782,359193.2612,335459.9782
19041,359190.2612,335453.9782,359193.2612,335456.9782
19042,359190.2612,335450.9782,359193.2612,335453.9782
19043,359190.2612,335447.9782,359193.2612,335450.9782
19044,359190.2612,335444.9782,359193.2612,335447.9782
19045,359190.2612,335441.9782,359193.2612,335444.9782
19046,359190.2612,335438.9782,359193.2612,335441.9782
19047,359190.2612,335435.9782,359193.2612,335438.9782
19048,359190.2612,335432.9782,359193.2612,335435.9782
19049,359190.2612,335429.9782,359193.2612,335432.9782
19050,359190.2612,335426.9782,359193.2612,335429.9782
19051,359190.2612,335423.9782,359193.2612,335426.9782
19052,359190.2612,335420.9782,359193.2612,335423.9782
19053,359190.2612,335417.9782,359193.2612,335420.9782
19054,359190.2612,335414.9782,359193.2612,335417.9782
19055,359190.2612,335411.9782,359193.2612,335414.9782
19056,359190.2612,335408.9782,359193.2612,335411.9782
19178,359193.2612,335537.9782,359196.2612,335540.9782
19179,359193.2612,335534.9782,359196.2612,335537.9782
19180,359193.2612,335531.9782,359196.2612,335534.9782
19181,359193.2612,335528.9782,359196.2612,335531.9782
19182,359193.2612,335525.9782,359196.2612,335528.9782
19183,359193.2612,335522.9782,359196.2612,335525.9782
19184,359193.2612,335519.9782,359196.2612,335522.9782
19185,359193.2612,335516.9782,359196.2612,335519.9782
19186,359193.2612,335513.9782,359196.2612,335516.9782
19187,359193.2612,335510.9782,359196.2612,335513.9782
19196,359193.2612,335483.9782,359196.2612,335486.9782
19197,359193.2612,335480.9782,359196.2612,335483.9782
19198,359193.2612,335477.9782,359196.2612,335480.9782
19203,359193.2612,335462.9782,359196.2612,335465.9782
19204,359193.2612,335459.9782,359196.2612,335462.9782
19205,359193.2612,335456.9782,359196.2612,335459.9782
19206,359193.2612,335453.9782,359196.2612,335456.9782
19207,359193.2612,335450.9782,359196.2612,335453.9782
19208,359193.2612,335447.9782,359196.2612,335450.9782
19209,359193.2612,335444.9782,359196.2612,335447.9782
19210,359193.2612,335441.9782,359196.2612,335444.9782
19211,359193.2612,335438.9782,359196.2612,335441.9782
19212,359193.2612,335435.9782,359196.2612,335438.9782
19213,359193.2612,335432.9782,359196.2612,335435.9782
19214,359193.2612,335429.9782,359196.2612,335432.9782
19215,359193.2612,335426.9782,359196.2612,335429.9782
19216,359193.2612,335423.9782,359196.2612,335426.9782
19217,359193.2612,335420.9782,359196.2612,335423.9782
19218,359193.2612,335417.9782,359196.2612,335420.9782
19219,359193.2612,335414.9782,359196.2612,335417.9782
19220,359193.2612,335411.9782,359196.2612,335414.9782
19221,359193.2612,335408.9782,359196.2612,335411.9782
19343,359196.2612,335537.9782,359199.2612,335540.9782
19344,359196.2612,335534.9782,359199.2612,335537.9782
19345,359196.2612,335531.9782,359199.2612,335534.9782
19346,359196.2612,335528.9782,359199.2612,335531.9782
19347,359196.2612,335525.9782,359199.2612,335528.9782
19348,359196.2612,335522.9782,359199.2612,335525.9782
19349,359196.2612,335519.9782,359199.2612,335522.9782
19350,359196.2612,335516.9782,359199.2612,335519.9782
19351,359196.2612,335513.9782,359199.2612,335516.9782
19352,359196.2612,335510.9782,359199.2612,335513.9782
19353,359196.2612,335507.9782,359199.2612,335510.9782
19360,359196.2612,335486.9782,359199.2612,335489.9782
19361,359196.2612,335483.9782,359199.2612,335486.9782
19362,359196.2612,335480.9782,359199.2612,335483.9782
19363,359196.2612,335477.9782,359199.2612,335480.9782
19364,359196.2612,335474.9782,359199.2612,335477.9782
19365,359196.2612,335471.9782,359199.2612,335474.9782
19369,359196.2612,335459.9782,359199.2612,335462.9782
19370,359196.2612,335456.9782,359199.2612,335459.9782
19371,359196.2612,335453.9782,359199.2612,335456.9782
19372,359196.2612,335450.9782,359199.2612,335453.9782
19373,359196.2612,335447.9782,359199.2612,335450.9782
19374,359196.2612,335444.9782,359199.2612,335447.9782
19375,359196.2612,335441.9782,359199.2612,335444.9782
19376,359196.2612,335438.9782,359199.2612,335441.9782
19377,359196.2612,335435.9782,359199.2612,335438.9782
19378,359196.2612,335432.9782,359199.2612,335435.9782
19379,359196.2612,335429.9782,359199.2612,335432.9782
19380,359196.2612,335426.9782,359199.2612,335429.9782
19381,359196.2612,335423.9782,359199.2612,335426.9782
19382,359196.2612,335420.9782,359199.2612,335423.9782
19383,359196.2612,335417.9782,359199.2612,335420.9782
19384,359196.2612,335414.9782,359199.2612,335417.9782
19385,359196.2612,335411.9782,359199.2612,335414.9782
19386,359196.2612,335408.9782,359199.2612,335411.9782
19507,359199.2612,335540.9782,359202.2612,335543.9782
19508,359199.2612,335537.9782,359202.2612,335540.9782
19509,359199.2612,335534.9782,359202.2612,335537.9782
19510,359199.2612,335531.9782,359202.2612,335534.9782
19511,359199.2612,335528.9782,359202.2612,335531.9782
19512,359199.2612,335525.9782,359202.2612,335528.9782
19513,359199.2612,335522.9782,359202.2612,335525.9782
19514,359199.2612,335519.9782,359202.2612,335522.9782
19515,359199.2612,335516.9782,359202.2612,335519.9782
19516,359199.2612,335513.9782,359202.2612,335516.9782
19517,359199.2612,335510.9782,359202.2612,335513.9782
19518,359199.2612,335507.9782,359202.2612,335510.9782
19524,359199.2612,335489.9782,359202.2612,335492.9782
19525,359199.2612,335486.9782,359202.2612,335489.9782
19526,359199.2612,335483.9782,359202.2612,335486.9782
19527,359199.2612,335480.9782,359202.2612,335483.9782
19528,359199.2612,335477.9782,359202.2612,335480.9782
19529,359199.2612,335474.9782,359202.2612,335477.9782
19530,359199.2612,335471.9782,359202.2612,335474.9782
19531,359199.2612,335468.9782,359202.2612,335471.9782
19535,359199.2612,335456.9782,359202.2612,335459.9782
19536,359199.2612,335453.9782,359202.2612,335456.9782
19537,359199.2612,335450.9782,359202.2612,335453.9782
19538,359199.2612,335447.9782,359202.2612,335450.9782
19539,359199.2612,335444.9782,359202.2612,335447.9782
19540,359199.2612,335441.9782,359202.2612,335444.9782
19541,359199.2612,335438.9782,359202.2612,335441.9782
19542,359199.2612,335435.9782,359202.2612,335438.9782
19543,359199.2612,335432.9782,359202.2612,335435.9782
19544,359199.2612,335429.9782,359202.2612,335432.9782
19545,359199.2612,335426.9782,359202.2612,335429.9782
19546,359199.2612,335423.9782,359202.2612,335426.9782
19547,359199.2612,335420.9782,359202.2612,335423.9782
19548,359199.2612,335417.9782,359202.2612,335420.9782
19549,359199.2612,335414.9782,359202.2612,335417.9782
19550,359199.2612,335411.9782,359202.2612,335414.9782
19551,359199.2612,335408.9782,359202.2612,335411.9782
19672,359202.2612,335540.9782,359205.2612,335543.9782
19673,359202.2612,335537.9782,359205.2612,335540.9782
19674,359202.2612,335534.9782,359205.2612,335537.9782
19675,359202.2612,335531.9782,359205.2612,335534.9782
19676,359202.2612,335528.9782,359205.2612,335531.9782
19677,359202.2612,335525.9782,359205.2612,335528.9782
19678,359202.2612,335522.9782,359205.2612,335525.9782
19679,359202.2612,335519.9782,359205.2612,335522.9782
19680,359202.2612,335516.9782,359205.2612,335519.9782
19681,359202.2612,335513.9782,359205.2612,335516.9782
19682,359202.2612,335510.9782,359205.2612,335513.9782
19683,359202.2612,335507.9782,359205.2612,335510.9782
19689,359202.2612,335489.9782,359205.2612,335492.9782
19690,359202.2612,335486.9782,359205.2612,335489.9782
19691,359202.2612,335483.9782,359205.2612,335486.9782
19692,359202.2612,335480.9782,359205.2612,335483.9782
19693,359202.2612,335477.9782,359205.2612,335480.9782
19694,359202.2612,335474.9782,359205.2612,335477.9782
19695,359202.2612,335471.9782,359205.2612,335474.9782
19696,359202.2612,335468.9782,359205.2612,335471.9782
19697,359202.2612,335465.9782,359205.2612,335468.9782
19701,359202.2612,335453.9782,359205.2612,335456.9782
19702,359202.2612,335450.9782,359205.2612,335453.9782
19703,359202.2612,335447.9782,359205.2612,335450.9782
19704,359202.2612,335444.9782,359205.2612,335447.9782
19705,359202.2612,335441.9782,359205.2612,335444.9782
19706,359202.2612,335438.9782,359205.2612,335441.9782
19707,359202.2612,335435.9782,359205.2612,335438.9782
19708,359202.2612,335432.9782,359205.2612,335435.9782
19709,359202.2612,335429.9782,359205.2612,335432.9782
19710,359202.2612,335426.9782,359205.2612,335429.9782
19711,359202.2612,335423.9782,359205.2612,335426.9782
19712,359202.2612,335420.9782,359205.2612,335423.9782
19713,359202.2612,335417.9782,359205.2612,335420.9782
19714,359202.2612,335414.9782,359205.2612,335417.9782
19715,359202.2612,335411.9782,359205.2612,335414.9782
19716,359202.2612,335408.9782,359205.2612,335411.9782
19836,359205.2612,335543.9782,359208.2612,335546.9782
19837,359205.2612,335540.9782,359208.2612,335543.9782
19838,359205.2612,335537.9782,359208.2612,335540.9782
19839,359205.2612,335534.9782,359208.2612,335537.9782
19840,359205.2612,335531.9782,359208.2612,335534.9782
19841,359205.2612,335528.9782,359208.2612,335531.9782
19842,359205.2612,335525.9782,359208.2612,335528.9782
19843,359205.2612,335522.9782,359208.2612,335525.9782
19844,359205.2612,335519.9782,359208.2612,335522.9782
19845,359205.2612,335516.9782,359208.2612,335519.9782
19846,359205.2612,335513.9782,359208.2612,335516.9782
19847,359205.2612,335510.9782,359208.2612,335513.9782
19848,359205.2612,335507.9782,359208.2612,335510.9782
19853,359205.2612,335492.9782,359208.2612,335495.9782
19854,359205.2612,335489.9782,359208.2612,335492.9782
19855,359205.2612,335486.9782,359208.2612,335489.9782
19856,359205.2612,335483.9782,359208.2612,335486.9782
19857,359205.2612,335480.9782,359208.2612,335483.9782
19858,359205.2612,335477.9782,359208.2612,335480.9782
19859,359205.2612,335474.9782,359208.2612,335477.9782
19860,359205.2612,335471.9782,359208.2612,335474.9782
19861,359205.2612,335468.9782,359208.2612,335471.9782
19862,359205.2612,335465.9782,359208.2612,335468.9782
19863,359205.2612,335462.9782,359208.2612,335465.9782
19868,359205.2612,335447.9782,359208.2612,335450.9782
19869,359205.2612,335444.9782,359208.2612,335447.9782
19870,359205.2612,335441.9782,359208.2612,335444.9782
19871,359205.2612,335438.9782,359208.2612,335441.9782
19872,359205.2612,335435.9782,359208.2612,335438.9782
19873,359205.2612,335432.9782,359208.2612,335435.9782
19874,359205.2612,335429.9782,359208.2612,335432.9782
19875,359205.2612,335426.9782,359208.2612,335429.9782
19876,359205.2612,335423.9782,359208.2612,335426.9782
19877,359205.2612,335420.9782,359208.2612,335423.9782
19878,359205.2612,335417.9782,359208.2612,335420.9782
19879,359205.2612,335414.9782,359208.2612,335417.9782
19880,359205.2612,335411.9782,359208.2612,335414.9782
19881,359205.2612,335408.9782,359208.2612,335411.9782
20001,359208.2612,335543.9782,359211.2612,335546.9782
20002,359208.2612,335540.9782,359211.2612,335543.9782
20003,359208.2612,335537.9782,359211.2612,335540.9782
20004,359208.2612,335534.9782,359211.2612,335537.9782
20005,359208.2612,335531.9782,359211.2612,335534.9782
20006,359208.2612,335528.9782,359211.2612,335531.9782
20007,359208.2612,335525.9782,359211.2612,335528.9782
20008,359208.2612,335522.9782,359211.2612,335525.9782
20009,359208.2612,335519.9782,359211.2612,335522.9782
20010,359208.2612,335516.9782,359211.2612,335519.9782
20011,359208.2612,335513.9782,359211.2612,335516.9782
20012,359208.2612,335510.9782,359211.2612,335513.9782
20013,359208.2612,335507.9782,359211.2612,335510.9782
20017,359208.2612,335495.9782,359211.2612,335498.9782
20018,359208.2612,335492.9782,359211.2612,335495.9782
20019,359208.2612,335489.9782,359211.2612,335492.9782
20020,359208.2612,335486.9782,359211.2612,335489.9782
20021,359208.2612,335483.9782,359211.2612,335486.9782
20022,359208.2612,335480.9782,359211.2612,335483.9782
20023,359208.2612,335477.9782,359211.2612,335480.9782
20024,359208.2612,335474.9782,359211.2612,335477.9782
20025,359208.2612,335471.9782,359211.2612,335474.9782
20026,359208.2612,335468.9782,359211.2612,335471.9782
20027,359208.2612,335465.9782,359211.2612,335468.9782
20028,359208.2612,335462.9782,359211.2612,335465.9782
20029,359208.2612,335459.9782,359211.2612,335462.9782
20030,359208.2612,335456.9782,359211.2612,335459.9782
20034,359208.2612,335444.9782,359211.2612,335447.9782
20035,359208.2612,335441.9782,359211.2612,335444.9782
20036,359208.2612,335438.9782,359211.2612,335441.9782
20037,359208.2612,335435.9782,359211.2612,335438.9782
20038,359208.2612,335432.9782,359211.2612,335435.9782
20039,359208.2612,335429.9782,359211.2612,335432.9782
20040,359208.2612,335426.9782,359211.2612,335429.9782
20041,359208.2612,335423.9782,359211.2612,335426.9782
20042,359208.2612,335420.9782,359211.2612,335423.9782
20043,359208.2612,335417.9782,359211.2612,335420.9782
20044,359208.2612,335414.9782,359211.2612,335417.9782
20045,359208.2612,335411.9782,359211.2612,335414.9782
20046,359208.2612,335408.9782,359211.2612,335411.9782
20165,359211.2612,335546.9782,359214.2612,335549.9782
20166,359211.2612,335543.9782,359214.2612,335546.9782
20167,359211.2612,335540.9782,359214.2612,335543.9782
20168,359211.2612,335537.9782,359214.2612,335540.9782
20169,359211.2612,335534.9782,359214.2612,335537.9782
20170,359211.2612,335531.9782,359214.2612,335534.9782
20171,359211.2612,335528.9782,359214.2612,335531.9782
20172,359211.2612,335525.9782,359214.2612,335528.9782
20173,359211.2612,335522.9782,359214.2612,335525.9782
20174,359211.2612,335519.9782,359214.2612,335522.9782
20175,359211.2612,335516.9782,359214.2612,335519.9782
20176,359211.2612,335513.9782,359214.2612,335516.9782
20177,359211.2612,335510.9782,359214.2612,335513.9782
20182,359211.2612,335495.9782,359214.2612,335498.9782
20183,359211.2612,335492.9782,359214.2612,335495.9782
20184,359211.2612,335489.9782,359214.2612,335492.9782
20185,359211.2612,335486.9782,359214.2612,335489.9782
20186,359211.2612,335483.9782,359214.2612,335486.9782
20187,359211.2612,335480.9782,359214.2612,335483.9782
20188,359211.2612,335477.9782,359214.2612,335480.9782
20189,359211.2612,335474.9782,359214.2612,335477.9782
20190,359211.2612,335471.9782,359214.2612,335474.9782
20191,359211.2612,335468.9782,359214.2612,335471.9782
20192,359211.2612,335465.9782,359214.2612,335468.9782
20193,359211.2612,335462.9782,359214.2612,335465.9782
20194,359211.2612,335459.9782,359214.2612,335462.9782
20195,359211.2612,335456.9782,359214.2612,335459.9782
20196,359211.2612,335453.9782,359214.2612,335456.9782
20200,359211.2612,335441.9782,359214.2612,335444.9782
20201,359211.2612,335438.9782,359214.2612,335441.9782
20202,359211.2612,335435.9782,359214.2612,335438.9782
20203,359211.2612,335432.9782,359214.2612,335435.9782
20204,359211.2612,335429.9782,359214.2612,335432.9782
20205,359211.2612,335426.9782,359214.2612,335429.9782
20206,359211.2612,335423.9782,359214.2612,335426.9782
20207,359211.2612,335420.9782,359214.2612,335423.9782
20208,359211.2612,335417.9782,359214.2612,335420.9782
20209,359211.2612,335414.9782,359214.2612,335417.9782
20210,359211.2612,335411.9782,359214.2612,335414.9782
20211,359211.2612,335408.9782,359214.2612,335411.9782
20330,359214.2612,335546.9782,359217.2612,335549.9782
20331,359214.2612,335543.9782,359217.2612,335546.9782
20332,359214.2612,335540.9782,359217.2612,335543.9782
20333,359214.2612,335537.9782,359217.2612,335540.9782
20334,359214.2612,335534.9782,359217.2612,335537.9782
20335,359214.2612,335531.9782,359217.2612,335534.9782
20336,359214.2612,335528.9782,359217.2612,335531.9782
20337,359214.2612,335525.9782,359217.2612,335528.9782
20338,359214.2612,335522.9782,359217.2612,335525.9782
20339,359214.2612,335519.9782,359217.2612,335522.9782
20340,359214.2612,335516.9782,359217.2612,335519.9782
20341,359214.2612,335513.9782,359217.2612,335516.9782
20346,359214.2612,335498.9782,359217.2612,335501.9782
20347,359214.2612,335495.9782,359217.2612,335498.9782
20348,359214.2612,335492.9782,359217.2612,335495.9782
20349,359214.2612,335489.9782,359217.2612,335492.9782
20350,359214.2612,335486.9782,359217.2612,335489.9782
20351,359214.2612,335483.9782,359217.2612,335486.9782
20352,359214.2612,335480.9782,359217.2612,335483.9782
20353,359214.2612,335477.9782,359217.2612,335480.9782
20354,359214.2612,335474.9782,359217.2612,335477.9782
20355,359214.2612,335471.9782,359217.2612,335474.9782
20356,359214.2612,335468.9782,359217.2612,335471.9782
20357,359214.2612,335465.9782,359217.2612,335468.9782
20358,359214.2612,335462.9782,359217.2612,335465.9782
20359,359214.2612,335459.9782,359217.2612,335462.9782
20360,359214.2612,335456.9782,359217.2612,335459.9782
20361,359214.2612,335453.9782,359217.2612,335456.9782
20362,359214.2612,335450.9782,359217.2612,335453.9782
20367,359214.2612,335435.9782,359217.2612,335438.9782
20368,359214.2612,335432.9782,359217.2612,335435.9782
20369,359214.2612,335429.9782,359217.2612,335432.9782
20370,359214.2612,335426.9782,359217.2612,335429.9782
20371,359214.2612,335423.9782,359217.2612,335426.9782
20372,359214.2612,335420.9782,359217.2612,335423.9782
20373,359214.2612,335417.9782,359217.2612,335420.9782
20374,359214.2612,335414.9782,359217.2612,335417.9782
20375,359214.2612,335411.9782,359217.2612,335414.9782
20376,359214.2612,335408.9782,359217.2612,335411.9782
20494,359217.2612,335549.9782,359220.2612,335552.9782
20495,359217.2612,335546.9782,359220.2612,335549.9782
20496,359217.2612,335543.9782,359220.2612,335546.9782
20497,359217.2612,335540.9782,359220.2612,335543.9782
20498,359217.2612,335537.9782,359220.2612,335540.9782
20499,359217.2612,335534.9782,359220.2612,335537.9782
20500,359217.2612,335531.9782,359220.2612,335534.9782
20501,359217.2612,335528.9782,359220.2612,335531.9782
20502,359217.2612,335525.9782,359220.2612,335528.9782
20503,359217.2612,335522.9782,359220.2612,335525.9782
20504,359217.2612,335519.9782,359220.2612,335522.9782
20505,359217.2612,335516.9782,359220.2612,335519.9782
20506,359217.2612,335513.9782,359220.2612,335516.9782
20510,359217.2612,335501.9782,359220.2612,335504.9782
20511,359217.2612,335498.9782,359220.2612,335501.9782
20512,359217.2612,335495.9782,359220.2612,335498.9782
20513,359217.2612,335492.9782,359220.2612,335495.9782
20514,359217.2612,335489.9782,359220.2612,335492.9782
20515,359217.2612,335486.9782,359220.2612,335489.9782
20516,359217.2612,335483.9782,359220.2612,335486.9782
20517,359217.2612,335480.9782,359220.2612,335483.9782
20518,359217.2612,335477.9782,359220.2612,335480.9782
20519,359217.2612,335474.9782,359220.2612,335477.9782
20520,359217.2612,335471.9782,359220.2612,335474.9782
20521,359217.2612,335468.9782,359220.2612,335471.9782
20522,359217.2612,335465.9782,359220.2612,335468.9782
20523,359217.2612,335462.9782,359220.2612,335465.9782
20524,359217.2612,335459.9782,359220.2612,335462.9782
20525,359217.2612,335456.9782,359220.2612,335459.9782
20526,359217.2612,335453.9782,359220.2612,335456.9782
20527,359217.2612,335450.9782,359220.2612,335453.9782
20528,359217.2612,335447.9782,359220.2612,335450.9782
20533,359217.2612,335432.9782,359220.2612,335435.9782
20534,359217.2612,335429.9782,359220.2612,335432.9782
20535,359217.2612,335426.9782,359220.2612,335429.9782
20536,359217.2612,335423.9782,359220.2612,335426.9782
20537,359217.2612,335420.9782,359220.2612,335423.9782
20538,359217.2612,335417.9782,359220.2612,335420.9782
20539,359217.2612,335414.9782,359220.2612,335417.9782
20540,359217.2612,335411.9782,359220.2612,335414.9782
20541,359217.2612,335408.9782,359220.2612,335411.9782
20659,359220.2612,335549.9782,359223.2612,335552.9782
20660,359220.2612,335546.9782,359223.2612,335549.9782
20661,359220.2612,335543.9782,359223.2612,335546.9782
20662,359220.2612,335540.9782,359223.2612,335543.9782
20663,359220.2612,335537.9782,359223.2612,335540.9782
20664,359220.2612,335534.9782,359223.2612,335537.9782
20665,359220.2612,335531.9782,359223.2612,335534.9782
20666,359220.2612,335528.9782,359223.2612,335531.9782
20667,359220.2612,335525.9782,359223.2612,335528.9782
20668,359220.2612,335522.9782,359223.2612,335525.9782
20669,359220.2612,335519.9782,359223.2612,335522.9782
20670,359220.2612,335516.9782,359223.2612,335519.9782
20671,359220.2612,335513.9782,359223.2612,335516.9782
20674,359220.2612,335504.9782,359223.2612,335507.9782
20675,359220.2612,335501.9782,359223.2612,335504.9782
20676,359220.2612,335498.9782,359223.2612,335501.9782
20677,359220.2612,335495.9782,359223.2612,335498.9782
20678,359220.2612,335492.9782,359223.2612,335495.9782
20679,359220.2612,335489.9782,359223.2612,335492.9782
20680,359220.2612,335486.9782,359223.2612,335489.9782
20681,359220.2612,335483.9782,359223.2612,335486.9782
20682,359220.2612,335480.9782,359223.2612,335483.9782
20683,359220.2612,335477.9782,359223.2612,335480.9782
20684,359220.2612,335474.9782,359223.2612,335477.9782
20685,359220.2612,335471.9782,359223.2612,335474.9782
20686,359220.2612,335468.9782,359223.2612,335471.9782
20687,359220.2612,335465.9782,359223.2612,335468.9782
20688,359220.2612,335462.9782,359223.2612,335465.9782
20689,359220.2612,335459.9782,359223.2612,335462.9782
20690,359220.2612,335456.9782,359223.2612,335459.9782
20691,359220.2612,335453.9782,359223.2612,335456.9782
20692,359220.2612,335450.9782,359223.2612,335453.9782
20693,359220.2612,335447.9782,359223.2612,335450.9782
20694,359220.2612,335444.9782,359223.2612,335447.9782
20695,359220.2612,335441.9782,359223.2612,335444.9782
20699,359220.2612,335429.9782,359223.2612,335432.9782
20700,359220.2612,335426.9782,359223.2612,335429.9782
20701,359220.2612,335423.9782,359223.2612,335426.9782
20702,359220.2612,335420.9782,359223.2612,335423.9782
20703,359220.2612,335417.9782,359223.2612,335420.9782
20704,359220.2612,335414.9782,359223.2612,335417.9782
20705,359220.2612,335411.9782,359223.2612,335414.9782
20706,359220.2612,335408.9782,359223.2612,335411.9782
20823,359223.2612,335552.9782,359226.2612,335555.9782
20824,359223.2612,335549.9782,359226.2612,335552.9782
20825,359223.2612,335546.9782,359226.2612,335549.9782
20826,359223.2612,335543.9782,359226.2612,335546.9782
20827,359223.2612,335540.9782,359226.2612,335543.9782
20828,359223.2612,335537.9782,359226.2612,335540.9782
20829,359223.2612,335534.9782,359226.2612,335537.9782
20830,359223.2612,335531.9782,359226.2612,335534.9782
20831,359223.2612,335528.9782,359226.2612,335531.9782
20832,359223.2612,335525.9782,359226.2612,335528.9782
20833,359223.2612,335522.9782,359226.2612,335525.9782
20834,359223.2612,335519.9782,359226.2612,335522.9782
20835,359223.2612,335516.9782,359226.2612,335519.9782
20836,359223.2612,335513.9782,359226.2612,335516.9782
20837,359223.2612,335510.9782,359226.2612,335513.9782
20838,359223.2612,335507.9782,359226.2612,335510.9782
20839,359223.2612,335504.9782,359226.2612,335507.9782
20840,359223.2612,335501.9782,359226.2612,335504.9782
20841,359223.2612,335498.9782,359226.2612,335501.9782
20842,359223.2612,335495.9782,359226.2612,335498.9782
20843,359223.2612,335492.9782,359226.2612,335495.9782
20844,359223.2612,335489.9782,359226.2612,335492.9782
20845,359223.2612,335486.9782,359226.2612,335489.9782
20846,359223.2612,335483.9782,359226.2612,335486.9782
20847,359223.2612,335480.9782,359226.2612,335483.9782
20848,359223.2612,335477.9782,359226.2612,335480.9782
20849,359223.2612,335474.9782,359226.2612,335477.9782
20850,359223.2612,335471.9782,359226.2612,335474.9782
20851,359223.2612,335468.9782,359226.2612,335471.9782
20852,359223.2612,335465.9782,359226.2612,335468.9782
20853,359223.2612,335462.9782,359226.2612,335465.9782
20854,359223.2612,335459.9782,359226.2612,335462.9782
20855,359223.2612,335456.9782,359226.2612,335459.9782
20856,359223.2612,335453.9782,359226.2612,335456.9782
20857,359223.2612,335450.9782,359226.2612,335453.9782
20858,359223.2612,335447.9782,359226.2612,335450.9782
20859,359223.2612,335444.9782,359226.2612,335447.9782
20860,359223.2612,335441.9782,359226.2612,335444.9782
20861,359223.2612,335438.9782,359226.2612,335441.9782
20865,359223.2612,335426.9782,359226.2612,335429.9782
20866,359223.2612,335423.9782,359226.2612,335426.9782
20867,359223.2612,335420.9782,359226.2612,335423.9782
20868,359223.2612,335417.9782,359226.2612,335420.9782
20869,359223.2612,335414.9782,359226.2612,335417.9782
20870,359223.2612,335411.9782,359226.2612,335414.9782
20871,359223.2612,335408.9782,359226.2612,335411.9782
20988,359226.2612,335552.9782,359229.2612,335555.9782
20989,359226.2612,335549.9782,359229.2612,335552.9782
20990,359226.2612,335546.9782,359229.2612,335549.9782
