Treatment,Treat,Id,Latitude,Longitude,ACa_KgHa,AK_KgHa,AMg_KgHa,AMo_KgHa,ANa_KgHa,AP_KgHa,AS_KgHa,B,BpH,BulkDens,Ca,CEC,Clay,Cu,Elevation,Fe,K,Loam,Mg,Mn,Mo,Na,OM,OrganicC,OrgC_Clay,OrgC_THa,P,PAWater,pH,S,Sand,Silt,TCa,TCa-TMg_KH,TCa_KgHa,TK,TK_KgHa,TMg,TMg_KgHa,TMo,TMo_KgHa,TNa,TNa_KgHa,TP,TP_KgHa,TS,TS_KgHa,Zn,UKText
Conventional,CON,1243,52.91564074,-2.607330119,5945.220253,378.2088184,421.7221369,0.145001724,82.35000087,66.64431117,65.56986584,1.286533124,7.022258011,1.366464211,2072.70053,14.30149058,21.06674332,6.768994275,330.8992716,1157.305777,153.1281668,80.09755408,124.094448,38.80406924,0.070743028,29.8046616,3.366310479,1.948880202,0.0925098,39.94612571,14.19215918,90.19648552,6.375069868,12.79601575,19.90244592,59.03081076,2200.561304,0.531977263,4510.482398,4814.030148,9867.29986,4136.570221,8478.712745,0.617764309,1.266229229,187.9385979,385.2170519,457.2965712,937.3190974,238.2304153,488.3000046,6.669009155,SiClLo
Conventional,CON,1244,52.91564056,-2.607278069,5942.273267,379.1847124,421.4002322,0.145143874,82.35341555,66.99664713,65.80829197,1.28844374,7.019755838,1.366007511,2072.365739,14.28685121,21.14202404,6.736755377,331.2166195,1156.363758,153.5746118,80.19662424,124.0411826,38.80203545,0.070836054,29.81586252,3.363471687,1.947242072,0.092102916,39.89920944,14.27196044,90.2870393,6.371095139,12.84683848,19.80337576,59.0546002,2199.859482,0.532121772,4507.536864,4839.445676,9916.078714,4134.127934,8470.874716,0.616029535,1.262251457,187.8383278,384.8828501,458.4214256,939.310666,238.6815023,489.0610875,6.667016253,SiClLo
Conventional,CON,1245,52.91564039,-2.607226019,5940.337904,378.3702142,420.9809417,0.145344801,82.4820138,67.3340213,66.0758531,1.286873412,7.017579531,1.366337847,2071.189915,14.27411838,21.14567441,6.708715062,331.5268782,1153.055275,153.2076802,80.20142816,123.8878031,38.69337383,0.070916966,29.85520147,3.353501517,1.941488765,0.091814937,39.79094368,14.34036171,90.26193271,6.367638051,12.89595215,19.79857184,59.05575375,2197.394601,0.532431272,4503.575112,4818.556743,9875.664665,4127.095299,8458.509755,0.614520686,1.259464306,187.4861675,384.2541696,459.3997864,941.5429724,239.0738428,489.9834594,6.661277634,SiClLo
Conventional,CON,1246,52.91564022,-2.607173968,5938.018304,375.7131726,420.5817967,0.14563705,82.78174629,67.72369543,66.39074388,1.281734783,7.015312597,1.367460033,2068.682123,14.26085531,21.09711326,6.67950707,331.8375289,1145.998958,152.0069601,80.13752122,123.668771,38.51480801,0.071001247,29.93910342,3.332237181,1.929218137,0.09144465,39.57193045,14.41151565,90.13423276,6.364037001,12.94677573,19.86247878,59.04040796,2192.137515,0.532453149,4496.490657,4750.201325,9743.56569,4117.052403,8444.856921,0.612949005,1.257274899,186.7350814,383.0291409,460.4188889,944.4066434,239.4825214,491.224165,6.653082648,SiClLo
Conventional,CON,1247,52.91564005,-2.607121918,5933.253204,371.1985703,420.3761505,0.146054841,83.31446888,68.24086236,66.77256228,1.273030269,7.012479214,1.369351256,2064.167279,14.24427815,21.02690187,6.643000753,332.1542302,1133.295287,149.9730157,80.04512235,123.4375858,38.32386621,0.071106587,30.09015428,3.293954443,1.907127005,0.090699382,39.1729014,14.50151225,89.92698567,6.359536142,13.00324992,19.95487766,59.01822048,2182.673044,0.531522808,4483.269111,4634.411541,9519.205894,4106.452278,8434.763375,0.610984601,1.254978795,185.3828816,380.7814226,461.6926388,948.3290922,239.9933183,492.9527277,6.644432965,SiClLo
Conventional,CON,1262,52.91563746,-2.606341164,5756.153598,376.3528842,420.2360713,0.153830311,88.03414691,84.27129689,74.51199147,1.284292412,6.90338519,1.364423991,2009.786379,13.60600606,23.83724884,5.237394351,338.114298,980.2806692,152.6045897,83.74356618,123.842068,39.85830862,0.075162516,31.90954869,2.832842193,1.641041249,0.068843567,33.58614076,17.9727272,92.24209276,6.18623909,14.5628225,16.25643382,59.90631734,2068.674322,0.501497014,4233.82331,4784.223594,9791.564172,4124.998285,8442.369931,0.535348952,1.095664431,169.0957527,346.0774525,510.7359609,1045.290597,259.6605823,531.4306919,6.659566475,SiClLo
Conventional,CON,1263,52.91563729,-2.606289114,5756.154985,369.3318871,421.6482475,0.15367895,88.6253692,83.43522032,74.65505423,1.270726437,6.909730607,1.367373229,2005.452026,13.64313094,23.60580707,5.319150966,338.521871,968.0848528,149.4346897,83.43898657,123.9902231,40.10718696,0.074926605,32.05456098,2.796089885,1.619833256,0.068620118,33.22374945,17.75603514,91.82725623,6.196318853,14.55931273,16.56101343,59.8331795,2059.588213,0.498473428,4224.338679,4603.765351,9442.598241,4131.791379,8474.551381,0.539748274,1.10705601,167.7976098,344.1629394,507.8833729,1041.699191,258.5166427,530.2331047,6.665109628,SiClLo
Conventional,CON,1264,52.91563712,-2.606237064,5760.967838,360.4805774,422.7579569,0.153430735,89.23244648,82.26686685,74.72570745,1.2536691,6.918564437,1.371175003,2001.563786,13.69481468,23.24428222,5.432969197,338.9257783,957.1442931,145.4489789,82.96321637,123.9718602,40.16875204,0.074598178,32.18464786,2.763120315,1.600808099,0.068868898,32.92482074,17.45885355,91.25257732,6.21035149,14.53268568,17.03678363,59.71893415,2051.437293,0.496601891,4219.319304,4376.864071,9002.169907,4130.949419,8496.381871,0.54587283,1.122730769,166.6330786,342.7246679,503.9121159,1036.427545,256.9240964,528.4318478,6.66442259,SiClLo
Conventional,CON,1265,52.91563695,-2.606185013,5771.537054,351.3584707,423.3894331,0.153076198,89.69790981,80.85014908,74.71505312,1.236143438,6.929053884,1.375195749,1999.37307,13.75618488,22.79135417,5.568118982,339.3272298,950.9801521,141.3538367,82.36715866,123.794032,40.04672454,0.074208198,32.25794153,2.744544568,1.590088926,0.069767198,32.80025299,17.10802812,90.60079237,6.227014091,14.48812954,17.63284134,59.57580449,2046.844894,0.496470115,4222.218597,4143.733002,8547.666018,4122.795775,8504.476838,0.553145237,1.141024468,165.9769572,342.3762091,499.1965751,1029.739512,255.0330788,526.0806088,6.65776923,SiClLo
Conventional,CON,1266,52.91563677,-2.606132963,5787.808395,343.5946764,423.4265882,0.152626221,89.88709541,79.31986195,74.61989317,1.221249189,6.940058891,1.378755048,1999.833786,13.82057144,22.30155253,5.709911425,339.7273335,952.276494,137.8735649,81.72257495,123.4852895,39.76689715,0.073799051,32.2425276,2.748451117,1.592343208,0.071400554,32.93176855,16.74088781,89.96792831,6.244495666,14.43232299,18.27742505,59.42102243,2047.810693,0.498415757,4235.143995,3945.605699,8160.035662,4108.639553,8497.211285,0.560775085,1.159757219,166.114942,343.5477222,494.2492637,1022.173001,253.049117,523.3391211,6.646217777,SiClLo
