Plot,treatment,ECClass,SoilZone,Field,ho,x,y,Name,sample,rand_point,layer,path
1,CON,4,1,1,1,-2.60488656,52.91556607,S001,1,,P1F1_P1,/Users/u1764794/Library/CloudStorage/OneDrive-HarperAdamsUniversity/QGIS/250 RP/Shapefiles/generated/P1F1_P1.shp
1,CON,4,1,1,2,-2.60497394,52.91555848,S002,2,,P1F1_P1,/Users/u1764794/Library/CloudStorage/OneDrive-HarperAdamsUniversity/QGIS/250 RP/Shapefiles/generated/P1F1_P1.shp
1,CON,4,1,1,3,-2.60479148,52.91547392,S003,3,,P1F1_P1,/Users/u1764794/Library/CloudStorage/OneDrive-HarperAdamsUniversity/QGIS/250 RP/Shapefiles/generated/P1F1_P1.shp
1,CON,4,1,1,4,-2.60488978,52.91546502,S004,4,,P1F1_P1,/Users/u1764794/Library/CloudStorage/OneDrive-HarperAdamsUniversity/QGIS/250 RP/Shapefiles/generated/P1F1_P1.shp
1,CON,4,1,1,5,-2.60506684,52.91552454,S005,5,,P1F1_P1,/Users/u1764794/Library/CloudStorage/OneDrive-HarperAdamsUniversity/QGIS/250 RP/Shapefiles/generated/P1F1_P1.shp
1,CON,2,2,1,6,-2.60551182,52.91533492,S006,6,,P1F1_P1,/Users/u1764794/Library/CloudStorage/OneDrive-HarperAdamsUniversity/QGIS/250 RP/Shapefiles/generated/P1F1_P1.shp
1,CON,2,2,1,7,-2.60566661,52.91532605,S007,7,,P1F1_P1,/Users/u1764794/Library/CloudStorage/OneDrive-HarperAdamsUniversity/QGIS/250 RP/Shapefiles/generated/P1F1_P1.shp
1,CON,2,2,1,8,-2.60567013,52.9151764,S008,8,,P1F1_P1,/Users/u1764794/Library/CloudStorage/OneDrive-HarperAdamsUniversity/QGIS/250 RP/Shapefiles/generated/P1F1_P1.shp
1,CON,2,2,1,9,-2.60595713,52.91525443,S009,9,,P1F1_P1,/Users/u1764794/Library/CloudStorage/OneDrive-HarperAdamsUniversity/QGIS/250 RP/Shapefiles/generated/P1F1_P1.shp
1,CON,2,2,1,10,-2.60595088,52.91512499,S010,10,,P1F1_P1,/Users/u1764794/Library/CloudStorage/OneDrive-HarperAdamsUniversity/QGIS/250 RP/Shapefiles/generated/P1F1_P1.shp
1,CON,2,3,1,11,-2.60641565,52.91510095,S011,11,,P1F1_P1,/Users/u1764794/Library/CloudStorage/OneDrive-HarperAdamsUniversity/QGIS/250 RP/Shapefiles/generated/P1F1_P1.shp
1,CON,2,3,1,12,-2.6064688,52.91506619,S012,12,,P1F1_P1,/Users/u1764794/Library/CloudStorage/OneDrive-HarperAdamsUniversity/QGIS/250 RP/Shapefiles/generated/P1F1_P1.shp
1,CON,2,3,1,13,-2.60655936,52.9149572,S013,13,,P1F1_P1,/Users/u1764794/Library/CloudStorage/OneDrive-HarperAdamsUniversity/QGIS/250 RP/Shapefiles/generated/P1F1_P1.shp
1,CON,2,3,1,14,-2.60652623,52.91491566,S014,14,,P1F1_P1,/Users/u1764794/Library/CloudStorage/OneDrive-HarperAdamsUniversity/QGIS/250 RP/Shapefiles/generated/P1F1_P1.shp
1,CON,2,3,1,15,-2.60661378,52.91489545,S015,15,,P1F1_P1,/Users/u1764794/Library/CloudStorage/OneDrive-HarperAdamsUniversity/QGIS/250 RP/Shapefiles/generated/P1F1_P1.shp
1,CON,2,4,1,16,-2.6066981,52.91500221,S016,16,,P1F1_P1,/Users/u1764794/Library/CloudStorage/OneDrive-HarperAdamsUniversity/QGIS/250 RP/Shapefiles/generated/P1F1_P1.shp
1,CON,2,4,1,17,-2.60678045,52.91497887,S017,17,,P1F1_P1,/Users/u1764794/Library/CloudStorage/OneDrive-HarperAdamsUniversity/QGIS/250 RP/Shapefiles/generated/P1F1_P1.shp
1,CON,2,4,1,18,-2.60681178,52.91491556,S018,18,,P1F1_P1,/Users/u1764794/Library/CloudStorage/OneDrive-HarperAdamsUniversity/QGIS/250 RP/Shapefiles/generated/P1F1_P1.shp
1,CON,2,4,1,19,-2.60670045,52.91486498,S019,19,,P1F1_P1,/Users/u1764794/Library/CloudStorage/OneDrive-HarperAdamsUniversity/QGIS/250 RP/Shapefiles/generated/P1F1_P1.shp
1,CON,2,4,1,20,-2.60683737,52.91486242,S020,20,,P1F1_P1,/Users/u1764794/Library/CloudStorage/OneDrive-HarperAdamsUniversity/QGIS/250 RP/Shapefiles/generated/P1F1_P1.shp
1,CON,4,5,1,22,-2.60709407,52.91479047,S021,21,,P1F1_P1,/Users/u1764794/Library/CloudStorage/OneDrive-HarperAdamsUniversity/QGIS/250 RP/Shapefiles/generated/P1F1_P1.shp
1,CON,4,5,1,21,-2.60702974,52.91474819,S022,22,,P1F1_P1,/Users/u1764794/Library/CloudStorage/OneDrive-HarperAdamsUniversity/QGIS/250 RP/Shapefiles/generated/P1F1_P1.shp
1,CON,4,5,1,23,-2.60716649,52.9147555,S023,23,,P1F1_P1,/Users/u1764794/Library/CloudStorage/OneDrive-HarperAdamsUniversity/QGIS/250 RP/Shapefiles/generated/P1F1_P1.shp
