id,x,y
"0",-2.60520969,52.91585221
"1",-2.60535021,52.91586103
"2",-2.60528714,52.91589643
"3",-2.60556803,52.91609341
"4",-2.60563565,52.91600193
"5",-2.60541297,52.91607764
"6",-2.60579604,52.91611463
"7",-2.60558238,52.91628454
"8",-2.60586892,52.91624758
"9",-2.60505620,52.91550932
"10",-2.60513350,52.91551820
"11",-2.60489693,52.91555635
"12",-2.60719310,52.91478530
"13",-2.60709057,52.91477018
"14",-2.60702930,52.91482824
"15",-2.60582975,52.91644070
"16",-2.60587285,52.91648091
"17",-2.60593753,52.91643424
"18",-2.60596898,52.91635160
"19",-2.60640844,52.91616589
"20",-2.60614282,52.91634334
"21",-2.60540618,52.91564364
"22",-2.60599580,52.91542788
"23",-2.60589715,52.91537815
"24",-2.60636825,52.91551934
"25",-2.60639098,52.91542970
"26",-2.60571718,52.91571222
"27",-2.60646037,52.91521043
"28",-2.60657422,52.91524618
"29",-2.60654384,52.91516376
"30",-2.60666544,52.91550485
"31",-2.60658837,52.91541161
"32",-2.60651951,52.91545508
"33",-2.60754367,52.91493028
"34",-2.60735444,52.91499111
"35",-2.60720535,52.91504018
"36",-2.60692601,52.91532684
"37",-2.60714911,52.91524134
"38",-2.60748515,52.91513244
"39",-2.60779710,52.91582531
"40",-2.60727440,52.91590845
"41",-2.60744608,52.91585051
"42",-2.60725894,52.91562533
"43",-2.60716846,52.91578417
"44",-2.60706956,52.91569536
"45",-2.60697260,52.91553732
"46",-2.60689149,52.91558390
"47",-2.60688008,52.91549977
"48",-2.60663381,52.91516709
"49",-2.60683555,52.91503363
"50",-2.60690403,52.91515459
"51",-2.60680981,52.91537571
"52",-2.60688273,52.91529889
"53",-2.60667067,52.91545956
"54",-2.60697791,52.91480815
"55",-2.60681678,52.91491123
"56",-2.60666350,52.91486062
"57",-2.60654406,52.91504701
"58",-2.60645140,52.91508716
"59",-2.60643627,52.91497668
"60",-2.60588308,52.91512073
"61",-2.60598946,52.91520365
"62",-2.60522110,52.91538233
"63",-2.60520598,52.91564806
"64",-2.60514435,52.91561989
"65",-2.60532816,52.91563283
"66",-2.60672112,52.91557751
"67",-2.60683260,52.91563877
"68",-2.60687119,52.91558873
"69",-2.60673315,52.91567462
"70",-2.60661555,52.91566845
"71",-2.60655663,52.91562352
"72",-2.60598871,52.91589710
"73",-2.60612327,52.91585222
"74",-2.60589073,52.91584994
"75",-2.60693540,52.91583952
"76",-2.60700779,52.91576153
"77",-2.60705700,52.91580650
"78",-2.60687096,52.91583975
"79",-2.60686639,52.91577029
"80",-2.60656529,52.91598559
"81",-2.60608418,52.91615217
"82",-2.60643437,52.91597588
"83",-2.60636627,52.91605196
"84",-2.60728412,52.91600312
"85",-2.60716102,52.91596066
"86",-2.60706515,52.91591449
"87",-2.60697493,52.91598571
"88",-2.60676921,52.91608440
"89",-2.60695335,52.91608341
