Plot,Treatment,ECClass,SoilZone,Field,ho,x,y,Name,sample,plants_q,plants_m2,shoots_q,shoots_m2,pods_q,pods_m2,bean_fm,bean_g_m2,t_ha_fw,bean_t_ha,bean_dm,b_dm_m2,g_ha,t_ha,bean_dm_m2,crop_fw_q,crop_fw_m2,crop_dm_q,crop_dm_m2,crop_dm_ha,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,plant_height
1,Conventional,4,1,1,1,-2.60520969,52.91585221,S001,1,5,16.665,0,0,48,159.984,85.16,255.48,2.5548,2.835828,79,493.75,4937500,4.9375,263.307,279,929.907,143,476.619,4.76619,119,122,109,116,109,,,,,,115
1,Conventional,4,1,1,2,-2.60535021,52.91586103,S002,2,10,33.33,0,0,74,246.642,115.16,,,3.834828,109,681.25,6812500,6.8125,363.297,416,1386.528,198,659.934,6.59934,121,115,107,106,109,117,111,117,96,111,111
1,Conventional,4,1,1,3,-2.60528714,52.91589643,S003,3,5,16.665,2,6.666,58,193.314,100.16,,,3.335328,94,587.5,5875000,5.875,313.302,383,1276.539,187,623.271,6.23271,141,137,111,128,121,,,,,,127.6
1,Conventional,4,1,1,4,-2.60556803,52.91609341,S004,4,8,26.664,0,0,83,276.639,125.16,,,4.167828,119,743.75,7437500,7.4375,396.627,422,1406.526,224,746.592,7.46592,118,124,128,121,130,132,127,127,,,125.875
1,Conventional,4,1,1,5,-2.60563565,52.91600193,S005,5,5,16.665,2,6.666,73,243.309,133.16,,,4.434228,127,793.75,7937500,7.9375,423.291,429,1429.857,220,733.26,7.3326,127,126,117,131,125,,,,,,125.2
1,Conventional,2,2,1,6,-2.60541297,52.91607764,S006,6,7,23.331,1,3.333,65,216.645,106.16,,,3.535128,100,625,6250000,6.25,333.3,383,1276.539,195,649.935,6.49935,127,134,131,121,134,125,118,,,,127.1428571
1,Conventional,2,2,1,7,-2.60579604,52.91611463,S007,7,4,13.332,0,0,50,166.65,79.16,,,2.636028,73,456.25,4562500,4.5625,243.309,253,843.249,135,449.955,4.49955,114,119,121,123,,,,,,,119.25
1,Conventional,2,2,1,8,-2.60558238,52.91628454,S008,8,8,26.664,0,0,76,253.308,125.16,,,4.167828,119,743.75,7437500,7.4375,396.627,389,1296.537,221,736.593,7.36593,123,126,111,120,127,126,128,117,,,122.25
1,Conventional,2,2,1,9,-2.60586892,52.91624758,S009,9,8,26.664,0,0,64,213.312,112.16,,,3.734928,106,662.5,6625000,6.625,353.298,352,1173.216,196,653.268,6.53268,116,111,117,127,122,110,126,109,,,117.25
1,Conventional,2,2,1,10,-2.6050562,52.91550932,S010,10,4,13.332,0,0,59,196.647,113.16,,,3.768228,107,668.75,6687500,6.6875,356.631,322,1073.226,180,599.94,5.9994,128,124,122,117,,,,,,,122.75
1,Conventional,2,3,1,11,-2.6051335,52.9155182,S011,11,7,23.331,1,3.333,83,276.639,132.16,,,4.400928,126,787.5,7875000,7.875,419.958,298,993.234,214,713.262,7.13262,116,114,108,115,119,111,112,,,,113.5714286
1,Conventional,2,3,1,12,-2.60489693,52.91555635,S012,12,5,16.665,0,0,50,166.65,95.16,,,3.168828,89,556.25,5562500,5.5625,296.637,282,939.906,150,499.95,4.9995,124,123,123,113,112,,,,,,119
1,Conventional,2,3,1,13,-2.6071931,52.9147853,S013,13,6,19.998,2,6.666,60,199.98,120.16,,,4.001328,114,712.5,7125000,7.125,379.962,414,1379.862,202,673.266,6.73266,131,135,134,130,132,109,,,,,128.5
1,Conventional,2,3,1,14,-2.60709057,52.91477018,S014,14,6,19.998,0,0,73,243.309,130.16,,,4.334328,124,775,7750000,7.75,413.292,434,1446.522,223,743.259,7.43259,117,114,111,126,117,114,,,,,116.5
1,Conventional,2,3,1,15,-2.6070293,52.91482824,S015,15,5,16.665,0,0,85,283.305,140.16,,,4.667328,134,837.5,8375000,8.375,446.622,424,1413.192,227,756.591,7.56591,124,126,124,118,128,,,,,,124
