id,left,top,right,bottom
"2474",-2.607829566,52.915790177,-2.607729566,52.915890177
"2475",-2.607829566,52.915690177,-2.607729566,52.915790177
"2517",-2.607729566,52.915890177,-2.607629566,52.915990177
"2518",-2.607729566,52.915790177,-2.607629566,52.915890177
"2519",-2.607729566,52.915690177,-2.607629566,52.915790177
"2561",-2.607629566,52.915890177,-2.607529566,52.915990177
"2562",-2.607629566,52.915790177,-2.607529566,52.915890177
"2563",-2.607629566,52.915690177,-2.607529566,52.915790177
"2605",-2.607529566,52.915890177,-2.607429566,52.915990177
"2606",-2.607529566,52.915790177,-2.607429566,52.915890177
"2607",-2.607529566,52.915690177,-2.607429566,52.915790177
"2648",-2.607429566,52.915990177,-2.607329566,52.916090177
"2649",-2.607429566,52.915890177,-2.607329566,52.915990177
"2650",-2.607429566,52.915790177,-2.607329566,52.915890177
"2651",-2.607429566,52.915690177,-2.607329566,52.915790177
"2692",-2.607329566,52.915990177,-2.607229566,52.916090177
"2693",-2.607329566,52.915890177,-2.607229566,52.915990177
"2694",-2.607329566,52.915790177,-2.607229566,52.915890177
"2695",-2.607329566,52.915690177,-2.607229566,52.915790177
"2736",-2.607229566,52.915990177,-2.607129566,52.916090177
"2737",-2.607229566,52.915890177,-2.607129566,52.915990177
"2738",-2.607229566,52.915790177,-2.607129566,52.915890177
"2739",-2.607229566,52.915690177,-2.607129566,52.915790177
"2780",-2.607129566,52.915990177,-2.607029566,52.916090177
"2781",-2.607129566,52.915890177,-2.607029566,52.915990177
"2782",-2.607129566,52.915790177,-2.607029566,52.915890177
"2783",-2.607129566,52.915690177,-2.607029566,52.915790177
"2823",-2.607029566,52.916090177,-2.606929566,52.916190177
"2824",-2.607029566,52.915990177,-2.606929566,52.916090177
"2825",-2.607029566,52.915890177,-2.606929566,52.915990177
"2826",-2.607029566,52.915790177,-2.606929566,52.915890177
"2827",-2.607029566,52.915690177,-2.606929566,52.915790177
"2867",-2.606929566,52.916090177,-2.606829566,52.916190177
"2868",-2.606929566,52.915990177,-2.606829566,52.916090177
"2869",-2.606929566,52.915890177,-2.606829566,52.915990177
"2870",-2.606929566,52.915790177,-2.606829566,52.915890177
"2871",-2.606929566,52.915690177,-2.606829566,52.915790177
"2911",-2.606829566,52.916090177,-2.606729566,52.916190177
"2912",-2.606829566,52.915990177,-2.606729566,52.916090177
"2913",-2.606829566,52.915890177,-2.606729566,52.915990177
"2914",-2.606829566,52.915790177,-2.606729566,52.915890177
"2915",-2.606829566,52.915690177,-2.606729566,52.915790177
"2954",-2.606729566,52.916190177,-2.606629566,52.916290177
"2955",-2.606729566,52.916090177,-2.606629566,52.916190177
"2956",-2.606729566,52.915990177,-2.606629566,52.916090177
"2957",-2.606729566,52.915890177,-2.606629566,52.915990177
"2958",-2.606729566,52.915790177,-2.606629566,52.915890177
"2959",-2.606729566,52.915690177,-2.606629566,52.915790177
"2998",-2.606629566,52.916190177,-2.606529566,52.916290177
"2999",-2.606629566,52.916090177,-2.606529566,52.916190177
"3000",-2.606629566,52.915990177,-2.606529566,52.916090177
"3001",-2.606629566,52.915890177,-2.606529566,52.915990177
"3002",-2.606629566,52.915790177,-2.606529566,52.915890177
"3003",-2.606629566,52.915690177,-2.606529566,52.915790177
"3042",-2.606529566,52.916190177,-2.606429566,52.916290177
"3043",-2.606529566,52.916090177,-2.606429566,52.916190177
"3044",-2.606529566,52.915990177,-2.606429566,52.916090177
"3045",-2.606529566,52.915890177,-2.606429566,52.915990177
"3046",-2.606529566,52.915790177,-2.606429566,52.915890177
